Gas Price,Auto Sales
 $2.28 ,"569,400"
 $2.43 ,"690,700"
 $2.74 ,"711,400"
 $2.91 ,"729,700"
 $2.89 ,"713,100"
 $2.98 ,"711,400"
 $2.95 ,"719,400"
 $2.56 ,"634,700"
 $2.25 ,"544,900"
 $2.23 ,"534,100"
 $2.31 ,"643,900"
 $2.24 ,"506,400"
 $2.28 ,"560,600"
 $2.56 ,"718,900"
 $2.85 ,"622,900"
 $3.15 ,"776,100"
 $3.06 ,"716,500"
 $2.97 ,"617,500"
 $2.79 ,"679,000"
 $2.80 ,"611,600"
 $2.80 ,"560,100"
 $3.08 ,"563,900"
 $3.02 ,"628,800"
 $3.04 ,"495,800"
 $3.03 ,"555,500"
 $3.24 ,"679,400"
 $3.46 ,"656,800"
 $3.77 ,"794,400"
 $4.05 ,"659,700"
 $4.06 ,"618,800"
 $3.78 ,"627,300"
 $3.70 ,"478,400"
 $3.05 ,"427,100"
 $2.15 ,"357,100"
 $1.69 ,"418,700"
 $1.79 ,"312,700"
 $1.92 ,"338,400"
 $1.96 ,"442,000"
 $2.05 ,"426,500"
 $2.27 ,"480,600"
 $2.63 ,"452,500"
 $2.53 ,"545,400"
 $2.62 ,"715,600"
 $2.55 ,"394,000"
 $2.55 ,"420,900"
 $2.65 ,"368,200"
 $2.61 ,"504,200"
 $2.72 ,"356,200"
 $2.64 ,"393,100"
 $2.77 ,"533,500"
 $2.85 ,"493,600"
 $2.84 ,"555,200"
 $2.73 ,"493,500"
 $2.73 ,"515,000"
 $2.73 ,"490,800"
 $2.71 ,"463,200"
 $2.80 ,"436,400"
 $2.86 ,"395,700"
 $2.99 ,"509,600"
 $3.10 ,"380,300"
 $3.21 ,"483,000"
 $3.56 ,"648,500"
 $3.80 ,"596,000"
 $3.91 ,"534,600"
 $3.68 ,"513,900"
 $3.65 ,"497,400"
 $3.64 ,"497,600"
 $3.61 ,"475,000"
 $3.45 ,"470,100"
 $3.38 ,"455,300"
 $3.27 ,"541,300"
 $3.38 ,"460,500"
 $3.58 ,"604,000"
 $3.85 ,"747,900"
 $3.90 ,"614,700"
 $3.73 ,"677,300"
 $3.54 ,"641,900"
 $3.44 ,"567,400"
 $3.72 ,"633,700"
 $3.85 ,"585,200"
 $3.75 ,"530,900"
 $3.45 ,"551,600"
 $3.31 ,"629,900"
 $3.32 ,"523,200"
 $3.67 ,"604,200"
 $3.71 ,"739,700"
 $3.57 ,"639,100"
 $3.62 ,"710,200"
 $3.63 ,"687,200"
 $3.59 ,"638,100"
 $3.57 ,"734,000"
 $3.53 ,"549,300"
 $3.34 ,"563,800"
 $3.24 ,"584,800"
 $3.28 ,"612,600"
 $3.31 ,"480,000"
 $3.36 ,"562,500"
 $3.53 ,"741,300"
 $3.66 ,"656,700"
 $3.67 ,"775,000"
 $3.69 ,"685,300"
 $3.61 ,"670,900"
 $3.49 ,"752,400"
 $3.41 ,"565,500"
 $3.17 ,"580,900"
 $2.91 ,"579,100"
 $2.54 ,"658,300"
 $2.12 ,"515,400"
 $2.22 ,"558,200"
 $2.46 ,"717,500"
 $2.47 ,"646,400"
 $2.72 ,"748,000"
 $2.80 ,"661,200"
 $2.79 ,"647,900"
 $2.64 ,"670,800"
 $2.37 ,"599,000"
 $2.29 ,"599,700"
 $2.16 ,"529,900"
 $2.04 ,"634,500"
 $1.95 ,"473,100"
 $1.76 ,"555,900"
 $1.97 ,"666,900"
 $2.11 ,"609,500"
 $2.27 ,"626,200"
 $2.37 ,"605,400"
 $2.24 ,"591,500"
 $2.18 ,"580,800"
 $2.22 ,"556,300"
 $2.25 ,"507,200"
 $2.18 ,"509,100"
 $2.25 ,"601,300"
 $2.35 ,"412,900"
 $2.30 ,"484,300"
 $2.33 ,"590,600"
 $2.42 ,"538,500"
 $2.39 ,"562,700"
 $2.35 ,"521,900"
 $2.30 ,"501,900"
 $2.38 ,"523,400"
 $2.65 ,"535,500"
 $2.51 ,"459,200"
 $2.56 ,"462,000"
 $2.48 ,"496,300"
 $2.56 ,"366,400"
 $2.59 ,"422,300"
 $2.59 ,"537,600"
 $2.76 ,"429,100"
 $2.90 ,"513,700"
 $2.89 ,"483,500"
 $2.85 ,"417,200"
 $2.84 ,"441,300"
 $2.84 ,"430,300"
 $2.86 ,"420,400"
 $2.65 ,"401,300"
 $2.37 ,"447,100"
 $2.25 ,"353,600"
 $2.31 ,"365,500"
 $2.52 ,"483,000"
 $2.80 ,"395,600"
 $2.86 ,"455,000"
 $2.72 ,"440,000"
 $2.74 ,"382,900"
 $2.62 ,"434,200"
 $2.59 ,"339,500"
 $2.63 ,"343,800"
 $2.60 ,"352,600"
 $2.56 ,"374,100"
 $2.55 ,"293,200"
 $2.44 ,"346,500"
 $2.23 ,"264,700"
 $1.84 ,"166,400"
 $1.87 ,"258,500"
 $2.08 ,"251,200"
 $2.18 ,"292,600"
 $2.18 ,"299,800"
 $2.18 ,"304,800"
 $2.16 ,"313,600"
 $2.11 ,"277,600"
 $2.20 ,"332,900"
 $2.33 ,"250,000"
 $2.50 ,"258,800"
 $2.81 ,"362,500"
 $2.86 ,"350,300"
 $2.99 ,"379,700"
 $3.06 ,"314,900"
 $3.14 ,"304,700"
 $3.16 ,"254,200"
 $3.18 ,"222,800"
 $3.29 ,"208,800"
 $3.40 ,"204,800"
 $3.31 ,"238,600"
 $3.32 ,"201,800"
 $3.52 ,"217,100"
 $4.22 ,"264,400"
 $4.11 ,"261,100"
 $4.44 ,"238,700"
 $4.93 ,"247,900"
 $4.56 ,"231,200"
 $3.98 ,"237,700"
 $3.70 ,"232,600"
 $3.82 ,"243,500"
 $3.69 ,"239,900"
 $3.21 ,"242,900"
 $3.34 ,"207,700"
